epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,244.46,1.46669,2.01573,0.00838,0.68637,0.59154,0.63066,0.30805,1.82143,1.96724,0.01421,0.0162,0.0054,0.0162,0.0054,0.0162,0.0054,0.0162,0.0054
2,469.653,1.48008,0.8309,0.00832,0.85516,0.79354,0.87975,0.53315,1.37841,0.97735,0.00995,0.015892,0.00529735,0.015892,0.00529735,0.015892,0.00529735,0.015892,0.00529735
3,695.816,1.43518,0.71267,0.00803,0.80186,0.68052,0.76416,0.39481,1.86141,1.13694,0.01466,0.0155841,0.00519469,0.0155841,0.00519469,0.0155841,0.00519469,0.0155841,0.00519469
4,920.68,1.41112,0.67266,0.00781,0.90538,0.84739,0.92046,0.55329,1.43307,0.75032,0.01053,0.0152761,0.00509204,0.0152761,0.00509204,0.0152761,0.00509204,0.0152761,0.00509204
5,1143.2,1.39632,0.6409,0.00775,0.90444,0.82173,0.88956,0.5311,1.50772,0.90836,0.01065,0.0149682,0.00498938,0.0149682,0.00498938,0.0149682,0.00498938,0.0149682,0.00498938
6,1365.22,1.38083,0.616,0.00759,0.70847,0.7444,0.79316,0.44521,1.66013,1.22403,0.01272,0.0146602,0.00488673,0.0146602,0.00488673,0.0146602,0.00488673,0.0146602,0.00488673
7,1586.56,1.37406,0.59652,0.00753,0.88707,0.85991,0.91174,0.5534,1.42332,0.63075,0.01083,0.0143522,0.00478408,0.0143522,0.00478408,0.0143522,0.00478408,0.0143522,0.00478408
8,1808.35,1.34618,0.57888,0.00736,0.94099,0.85479,0.92888,0.58923,1.32045,0.60837,0.00975,0.0140443,0.00468142,0.0140443,0.00468142,0.0140443,0.00468142,0.0140443,0.00468142
9,2030.17,1.34222,0.58352,0.00737,0.92945,0.85148,0.92416,0.55926,1.4182,0.65072,0.01024,0.0137363,0.00457877,0.0137363,0.00457877,0.0137363,0.00457877,0.0137363,0.00457877
10,2251.87,1.33644,0.56031,0.00732,0.92883,0.86464,0.92666,0.56404,1.43636,0.65043,0.0102,0.0134283,0.00447611,0.0134283,0.00447611,0.0134283,0.00447611,0.0134283,0.00447611
11,2474.12,1.32646,0.55829,0.00725,0.90259,0.85582,0.92191,0.58308,1.36565,0.61492,0.01008,0.0131204,0.00437346,0.0131204,0.00437346,0.0131204,0.00437346,0.0131204,0.00437346
12,2732.67,1.31684,0.5431,0.00719,0.94097,0.87168,0.94037,0.60498,1.32106,0.57585,0.00986,0.0128124,0.00427081,0.0128124,0.00427081,0.0128124,0.00427081,0.0128124,0.00427081
13,3019.19,1.30574,0.53174,0.00709,0.90347,0.83293,0.91082,0.56006,1.42976,0.68692,0.01068,0.0125045,0.00416815,0.0125045,0.00416815,0.0125045,0.00416815,0.0125045,0.00416815
14,3241.28,1.29992,0.51748,0.0071,0.88914,0.85979,0.9265,0.58589,1.35072,0.66082,0.01002,0.0121965,0.0040655,0.0121965,0.0040655,0.0121965,0.0040655,0.0121965,0.0040655
15,3463.14,1.29408,0.52193,0.00705,0.9432,0.88545,0.93868,0.60166,1.3208,0.5461,0.00945,0.0118885,0.00396284,0.0118885,0.00396284,0.0118885,0.00396284,0.0118885,0.00396284
16,3684.8,1.29528,0.51076,0.00705,0.92857,0.89101,0.93898,0.59199,1.33559,0.54219,0.00981,0.0115806,0.00386019,0.0115806,0.00386019,0.0115806,0.00386019,0.0115806,0.00386019
17,3906.62,1.28164,0.51312,0.00697,0.87247,0.85811,0.91578,0.59432,1.30578,0.6516,0.00952,0.0112726,0.00375754,0.0112726,0.00375754,0.0112726,0.00375754,0.0112726,0.00375754
18,4128.59,1.27821,0.50794,0.00694,0.95292,0.87268,0.93916,0.60641,1.28231,0.59337,0.00922,0.0109646,0.00365488,0.0109646,0.00365488,0.0109646,0.00365488,0.0109646,0.00365488
19,4349.94,1.2612,0.49859,0.00685,0.94321,0.87826,0.9392,0.59653,1.31184,0.58593,0.00924,0.0106567,0.00355223,0.0106567,0.00355223,0.0106567,0.00355223,0.0106567,0.00355223
20,4578.36,1.25732,0.48798,0.00683,0.88127,0.87794,0.93141,0.59427,1.31194,0.62509,0.00915,0.0103487,0.00344957,0.0103487,0.00344957,0.0103487,0.00344957,0.0103487,0.00344957
21,4800.21,1.24928,0.47856,0.00675,0.94734,0.90002,0.94997,0.63268,1.21518,0.51696,0.00854,0.0100408,0.00334692,0.0100408,0.00334692,0.0100408,0.00334692,0.0100408,0.00334692
