epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,457.46,1.41645,1.83159,0.00809,0.8867,0.78632,0.88855,0.61446,1.13526,0.80758,0.00812,0.000499668,0.000166556,0.000499668,0.000166556,0.0671885,0.0668554,0.000499668,0.000166556
2,836.888,1.38149,0.84524,0.0078,0.91736,0.84269,0.92433,0.64666,1.11988,0.66924,0.00806,0.000954683,0.000318228,0.000954683,0.000318228,0.0343102,0.0336737,0.000954683,0.000318228
3,1203.85,1.35243,0.72359,0.00757,0.93994,0.87094,0.94586,0.66528,1.09206,0.58922,0.00783,0.0013647,0.000454899,0.0013647,0.000454899,0.00138686,0.000477062,0.0013647,0.000454899
4,1567.61,1.31715,0.65277,0.00732,0.9249,0.86389,0.94065,0.65786,1.11923,0.60694,0.008,0.0012975,0.0004325,0.0012975,0.0004325,0.0012975,0.0004325,0.0012975,0.0004325
5,1930.85,1.2946,0.61629,0.00716,0.94089,0.87437,0.94859,0.66527,1.11343,0.5675,0.008,0.00123,0.00041,0.00123,0.00041,0.00123,0.00041,0.00123,0.00041
6,2293.76,1.27236,0.5861,0.00704,0.93734,0.87328,0.95012,0.65722,1.13818,0.5575,0.0081,0.0011625,0.0003875,0.0011625,0.0003875,0.0011625,0.0003875,0.0011625,0.0003875
7,2656.42,1.26189,0.56367,0.00693,0.93889,0.88087,0.95054,0.65867,1.13696,0.55745,0.00808,0.001095,0.000365,0.001095,0.000365,0.001095,0.000365,0.001095,0.000365
8,3018.62,1.24513,0.55249,0.00686,0.94151,0.87831,0.95495,0.664,1.12511,0.53537,0.00803,0.0010275,0.0003425,0.0010275,0.0003425,0.0010275,0.0003425,0.0010275,0.0003425
9,3380.71,1.231,0.5394,0.00677,0.93869,0.88015,0.95168,0.65836,1.13879,0.54587,0.00807,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
10,3742.88,1.228,0.53052,0.00669,0.9362,0.89081,0.95577,0.6685,1.11847,0.51964,0.00797,0.0008925,0.0002975,0.0008925,0.0002975,0.0008925,0.0002975,0.0008925,0.0002975
11,4114.81,1.19545,0.4905,0.00674,0.94111,0.88551,0.95424,0.66658,1.11385,0.52499,0.00788,0.000825,0.000275,0.000825,0.000275,0.000825,0.000275,0.000825,0.000275
12,4477.45,1.19034,0.48882,0.00671,0.93484,0.89484,0.95707,0.66666,1.12362,0.51064,0.00805,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525
13,4840,1.18047,0.46874,0.00666,0.93544,0.89365,0.95753,0.66345,1.13237,0.50503,0.00802,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023
14,5201.82,1.17751,0.4587,0.00665,0.93672,0.89786,0.95814,0.66855,1.11375,0.48696,0.0079,0.0006225,0.0002075,0.0006225,0.0002075,0.0006225,0.0002075,0.0006225,0.0002075
15,5563.57,1.17159,0.46112,0.00662,0.94575,0.8904,0.95805,0.66491,1.12623,0.49342,0.00798,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185
16,5925.34,1.16984,0.45363,0.00661,0.93776,0.89232,0.95796,0.65977,1.1384,0.50198,0.00809,0.0004875,0.0001625,0.0004875,0.0001625,0.0004875,0.0001625,0.0004875,0.0001625
17,6287.43,1.16432,0.45017,0.00655,0.93854,0.8993,0.96053,0.66623,1.13119,0.49108,0.008,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014
18,6649.27,1.1587,0.43939,0.00654,0.94985,0.89063,0.95998,0.6633,1.13371,0.49227,0.00805,0.0003525,0.0001175,0.0003525,0.0001175,0.0003525,0.0001175,0.0003525,0.0001175
19,7011.12,1.15777,0.43626,0.00655,0.9456,0.89545,0.96088,0.66858,1.11403,0.4911,0.00793,0.000285,9.5e-05,0.000285,9.5e-05,0.000285,9.5e-05,0.000285,9.5e-05
20,7372.53,1.14862,0.43847,0.00651,0.94804,0.89015,0.95997,0.66644,1.12133,0.49142,0.00797,0.0002175,7.25e-05,0.0002175,7.25e-05,0.0002175,7.25e-05,0.0002175,7.25e-05
