epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,633.933,1.29527,0.57433,0.00747,0.94655,0.88521,0.95658,0.60739,1.30505,0.56346,0.0093,5.99601e-05,1.99867e-05,5.99601e-05,1.99867e-05,0.0800733,0.0800333,5.99601e-05,1.99867e-05
2,1173.88,1.25751,0.53569,0.00724,0.93685,0.89472,0.96011,0.65005,1.17948,0.50267,0.00844,0.000119176,3.97255e-05,0.000119176,3.97255e-05,0.0601325,0.060053,0.000119176,3.97255e-05
3,1694.85,1.25214,0.53062,0.0072,0.94496,0.90172,0.96329,0.6477,1.19409,0.49733,0.0085,0.000177609,5.92029e-05,0.000177609,5.92029e-05,0.0401909,0.0400725,0.000177609,5.92029e-05
4,2205.6,1.24033,0.51581,0.00709,0.94554,0.89719,0.96269,0.65588,1.17429,0.50495,0.0083,0.000235257,7.8419e-05,0.000235257,7.8419e-05,0.0202486,0.0200917,0.000235257,7.8419e-05
5,2710.12,1.22995,0.51056,0.00704,0.95135,0.89974,0.96485,0.65302,1.18113,0.49692,0.00835,0.000292121,9.73737e-05,0.000292121,9.73737e-05,0.000305419,0.000110672,0.000292121,9.73737e-05
6,3212.36,1.21983,0.49837,0.00699,0.94717,0.89623,0.96305,0.65336,1.18404,0.5019,0.00837,0.0002902,9.67333e-05,0.0002902,9.67333e-05,0.0002902,9.67333e-05,0.0002902,9.67333e-05
7,3714.94,1.21875,0.49978,0.00694,0.95199,0.89472,0.9614,0.64057,1.22172,0.51485,0.00857,0.00028824,9.608e-05,0.00028824,9.608e-05,0.00028824,9.608e-05,0.00028824,9.608e-05
8,4217.43,1.20952,0.49361,0.00693,0.94612,0.91026,0.96624,0.6537,1.18125,0.48021,0.00825,0.00028628,9.54267e-05,0.00028628,9.54267e-05,0.00028628,9.54267e-05,0.00028628,9.54267e-05
9,4720.79,1.20769,0.48784,0.0069,0.94776,0.89966,0.9634,0.65803,1.17005,0.48543,0.00829,0.00028432,9.47733e-05,0.00028432,9.47733e-05,0.00028432,9.47733e-05,0.00028432,9.47733e-05
10,5223.23,1.20398,0.48231,0.00684,0.95088,0.91167,0.96761,0.6531,1.18855,0.46568,0.00835,0.00028236,9.412e-05,0.00028236,9.412e-05,0.00028236,9.412e-05,0.00028236,9.412e-05
