epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,631.966,1.29527,0.57433,0.00747,0.94655,0.88521,0.95658,0.60739,1.30505,0.56346,0.0093,5.99601e-05,1.99867e-05,5.99601e-05,1.99867e-05,0.0800733,0.0800333,5.99601e-05,1.99867e-05
2,1169.95,1.25942,0.53873,0.00725,0.94358,0.88837,0.95814,0.65291,1.1802,0.51968,0.0084,0.000118784,3.95948e-05,0.000118784,3.95948e-05,0.0601321,0.0600529,0.000118784,3.95948e-05
3,1689.76,1.24917,0.52519,0.00718,0.94894,0.90434,0.96393,0.63954,1.22266,0.5053,0.00868,0.000176433,5.8811e-05,0.000176433,5.8811e-05,0.0401897,0.0400721,0.000176433,5.8811e-05
4,2199.83,1.23941,0.51609,0.00709,0.94729,0.904,0.96438,0.63237,1.23993,0.51367,0.00883,0.000232905,7.76351e-05,0.000232905,7.76351e-05,0.0202462,0.0200909,0.000232905,7.76351e-05
5,2703.3,1.2288,0.51006,0.00703,0.9375,0.89448,0.9605,0.65872,1.15768,0.50048,0.0082,0.000288202,9.60672e-05,0.000288202,9.60672e-05,0.0003015,0.000109365,0.000288202,9.60672e-05
6,3204.66,1.21901,0.49901,0.00699,0.94026,0.89846,0.96201,0.65712,1.16678,0.50231,0.00827,0.0002853,9.51e-05,0.0002853,9.51e-05,0.0002853,9.51e-05,0.0002853,9.51e-05
7,3706.1,1.21747,0.50085,0.00693,0.95057,0.90376,0.9641,0.65039,1.19204,0.49201,0.00834,0.00028236,9.412e-05,0.00028236,9.412e-05,0.00028236,9.412e-05,0.00028236,9.412e-05
8,4207.34,1.20917,0.49427,0.00693,0.94607,0.90641,0.96542,0.64737,1.19617,0.48553,0.00837,0.00027942,9.314e-05,0.00027942,9.314e-05,0.00027942,9.314e-05,0.00027942,9.314e-05
9,4708.89,1.20707,0.48796,0.00689,0.95279,0.89211,0.96185,0.65535,1.1752,0.50166,0.00834,0.00027648,9.216e-05,0.00027648,9.216e-05,0.00027648,9.216e-05,0.00027648,9.216e-05
10,5210.57,1.20353,0.48468,0.00684,0.94943,0.90123,0.96354,0.65366,1.18419,0.49356,0.00834,0.00027354,9.118e-05,0.00027354,9.118e-05,0.00027354,9.118e-05,0.00027354,9.118e-05
